,player,org,region,event,rounds,rating,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HS,CS,KMAX,KILLS,DEATHS,ASSISTS,FK,FD
49,Fit1nho,['GX'],['EMEA'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",662.0,0.87,183.16666666666666,0.8566666666666666,66.66666666666667,123.73333333333335,0.63,0.22,0.10000000000000002,0.10333333333333333,29.0,11.0,29,419.0,478.0,163.0,64.0,62.0
50,Flashback,['DRX'],"['INT', 'PACIFIC']","['KICKOFF', 'STAGE 2', 'CHAMPIONS']",776.0,1.0733333333333335,219.5,1.2633333333333334,73.66666666666667,145.16666666666666,0.8333333333333334,0.19333333333333336,0.09666666666666666,0.08333333333333333,29.666666666666668,16.333333333333332,27,608.0,537.0,178.0,78.0,65.0
51,Flex1n,"['TYL', 'BLG', 'TE']","['INT', 'CHINA']","['KICKOFF', 'STAGE 1', 'CHAMPIONS', 'CHINA']",1000.0,0.69,180.9,0.9299999999999999,67.0,106.4,0.62,0.41,0.07,0.065,32.0,,27,667.0,652.0,434.0,25.0,33.0
52,Foxy9,['DRX'],"['INT', 'PACIFIC']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS']",1148.0,0.9775,186.775,1.01,71.0,122.02499999999999,0.675,0.2925,0.085,0.11000000000000001,31.75,14.0,24,741.0,771.0,336.0,92.0,110.0
53,Governor,['TLN'],"['INT', 'PACIFIC']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS']",904.0,0.9600000000000001,208.425,0.975,68.0,134.95000000000002,0.715,0.225,0.1575,0.1625,20.75,20.333333333333332,26,645.0,670.0,186.0,151.0,152.0
54,GuanG,['NOVA'],['CHINA'],"['KICKOFF', 'STAGE 1', 'CHINA']",691.0,,213.20000000000002,1.0433333333333334,,146.3,0.7633333333333333,0.20333333333333334,0.13,0.08,,,30,514.0,495.0,134.0,30.0,18.0
55,Haodong,['EDG'],"['INT', 'CHINA']","['KICKOFF', 'STAGE 1', 'CHINA', 'MASTERS SHANGHAI', 'MASTERS MADRID']",1047.0,0.79,144.3,0.682,69.0,91.96666666666665,0.49399999999999994,0.31399999999999995,0.08,0.11333333333333333,27.0,36.0,20,554.0,728.0,349.0,23.0,33.0
56,ICEKING,['TYL'],['CHINA'],"['KICKOFF', 'STAGE 1']",336.0,,183.5,0.8200000000000001,,,0.62,0.355,,,,,23,197.0,251.0,126.0,0.0,0.0
57,Jamppi,['TL'],['EMEA'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",683.0,0.9033333333333333,189.63333333333335,0.8933333333333332,70.0,123.73333333333333,0.6533333333333333,0.24666666666666667,0.10666666666666667,0.11333333333333334,33.0,14.333333333333334,22,449.0,499.0,184.0,69.0,77.0
58,Jemkin,['RRQ'],['PACIFIC'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",708.0,1.09,230.33333333333334,1.2166666666666666,73.66666666666667,147.36666666666667,0.84,0.14666666666666667,0.13333333333333333,0.1366666666666667,31.0,18.333333333333332,27,587.0,480.0,108.0,92.0,96.0
59,JessieVash,['TS'],['PACIFIC'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",897.0,1.0166666666666666,188.46666666666667,1.01,71.33333333333333,126.60000000000001,0.6533333333333333,0.3,0.07333333333333333,0.07666666666666667,26.0,16.666666666666668,26,590.0,587.0,267.0,65.0,66.0
60,Jinggg,['PRX'],"['INT', 'PACIFIC']","['STAGE 2', 'STAGE 1', 'CHAMPIONS', 'MASTERS SHANGHAI']",1144.0,1.0033333333333332,214.8,0.9924999999999999,72.33333333333333,144.075,0.735,0.285,0.11499999999999999,0.1425,20.333333333333332,17.0,28,898.0,822.0,297.0,149.0,125.0
61,JitBoyS,['TLN'],"['INT', 'PACIFIC']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS']",904.0,1.0225,205.25,1.0374999999999999,72.75,135.7,0.7224999999999999,0.2525,0.0975,0.09000000000000001,37.5,19.333333333333332,29,658.0,623.0,272.0,71.0,73.0
62,JonahP,['G2'],"['NA', 'INT']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS', 'MASTERS SHANGHAI']",1659.0,1.06,198.94,1.0080000000000002,72.5,129.38000000000002,0.7,0.35800000000000004,0.078,0.1,27.0,19.0,28,1116.0,1142.0,650.0,112.0,154.0
63,Jremy,['TS'],['PACIFIC'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",897.0,1.11,240.9,1.1300000000000001,74.0,155.16666666666666,0.8166666666666668,0.19666666666666668,0.22666666666666666,0.20333333333333337,25.0,17.5,30,730.0,651.0,177.0,202.0,188.0
64,K4DAVRA,['M8'],['EMEA'],['STAGE 2'],274.0,1.07,207.8,1.12,69.0,132.9,0.74,0.28,0.09,0.08,31.0,11.0,23,204.0,182.0,76.0,25.0,21.0
65,Kai,['TE'],"['INT', 'CHINA']","['KICKOFF', 'STAGE 1', 'CHAMPIONS', 'CHINA']",1288.0,1.04,213.07500000000002,1.165,68.0,141.85000000000002,0.785,0.1825,0.14,0.125,32.0,,31,1026.0,887.0,239.0,84.0,70.0
66,Karon,['GEN'],"['INT', 'PACIFIC']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS', 'MASTERS SHANGHAI', 'MASTERS MADRID']",2293.0,1.128,203.38333333333333,1.175,78.2,131.71666666666667,0.7383333333333333,0.43500000000000005,0.07500000000000001,0.06333333333333334,32.8,17.8,28,1642.0,1473.0,952.0,175.0,146.0
67,Keiko,['TL'],['EMEA'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",683.0,1.0066666666666666,216.26666666666665,1.0999999999999999,69.33333333333333,142.86666666666667,0.79,0.14333333333333334,0.17666666666666667,0.15666666666666668,31.333333333333332,12.333333333333334,37,544.0,496.0,109.0,121.0,109.0
68,Khalil,['FUR'],['NA'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",555.0,0.9366666666666666,180.5333333333333,0.9233333333333332,69.33333333333333,123.33333333333333,0.6466666666666666,0.24666666666666667,0.04666666666666667,0.06999999999999999,29.333333333333332,15.0,31,367.0,388.0,146.0,30.0,40.0
69,Kicks,['VIT'],"['INT', 'EMEA']","['KICKOFF', 'STAGE 2', 'STAGE 1', 'CHAMPIONS']",1210.0,0.9575,172.325,0.865,70.75,111.775,0.5975,0.415,0.045,0.08,19.75,19.333333333333332,26,760.0,837.0,476.0,63.0,88.0
70,Klaus,['KRÜ'],['NA'],"['KICKOFF', 'STAGE 2', 'STAGE 1']",577.0,0.86,162.5,0.7466666666666666,69.33333333333333,111.76666666666665,0.5366666666666666,0.29,0.10333333333333333,0.08666666666666667,24.666666666666668,14.0,18,334.0,414.0,170.0,64.0,45.0
