,agents_played,assists,assists_per_round,average_combat_score,average_damage_per_round,clutch_success_percentage,deaths,fd,first_deaths_per_round,first_kills_per_round,fk,headshot_percentage,kill_assists_survived_traded,kill_deaths,kills,kills_per_round,kmax,org,player,rating,rounds,region,event
643,"['raze', 'yoru', 'jett']",71,0.20,225.8,146.9,18,260,59,0.17,0.19,66,31,70,1.11,288,0.81,25,TL,Keiko,1.02,355,EMEA,STAGE 1
644,"['raze', 'kayo', 'neon']",89,0.27,217.3,147.1,25,241,46,0.14,0.16,52,28,74,1.01,244,0.74,24,NAVI,Zyppan,1.01,329,EMEA,STAGE 1
645,"['viper', 'fade', 'astra']",156,0.47,203.1,130.2,14,232,29,0.09,0.10,33,20,76,0.99,229,0.69,26,VIT,trexx,1.01,331,EMEA,STAGE 1
646,"['viper', 'cypher', 'killjoy']",34,0.14,171.8,113.1,12,143,13,0.05,0.05,13,28,75,1.07,153,0.64,20,KOI,sheydos,1.01,239,EMEA,STAGE 1
647,"['cypher', 'omen', 'viper']",38,0.20,185.7,120.2,6,125,14,0.08,0.07,13,34,68,0.98,123,0.66,19,M8,logaN,1.00,186,EMEA,STAGE 1
648,"['jett', 'raze', 'yoru']",122,0.19,224.5,149.9,21,472,118,0.18,0.17,107,26,70,1.07,507,0.78,29,FNC,Derke,1.00,646,EMEA,STAGE 1
649,"['fade', 'kayo', 'omen']",115,0.48,190.3,123.4,19,168,26,0.11,0.10,23,23,75,0.93,156,0.65,25,KOI,starxo,0.99,239,EMEA,STAGE 1
650,"['jett', 'neon', 'yoru']",51,0.19,229.2,158.3,6,211,40,0.15,0.19,52,23,73,1.01,213,0.79,31,BBL,QutionerX,0.98,268,EMEA,STAGE 1
651,"['sova', 'skye', 'fade']",73,0.26,192.0,127.9,10,196,16,0.06,0.08,22,24,71,1.00,196,0.70,26,GX,Cloud,0.98,281,EMEA,STAGE 1
652,"['yoru', 'breach', 'raze']",77,0.27,191.4,128.3,7,198,29,0.10,0.10,28,32,70,0.90,179,0.64,21,GX,Fit1nho,0.96,281,EMEA,STAGE 1
653,"['sage', 'omen', 'viper']",216,0.42,158.1,104.0,10,332,43,0.08,0.08,42,36,72,0.84,280,0.55,23,TH,Boo,0.96,511,EMEA,STAGE 1
654,"['sova', 'kayo', 'skye']",155,0.37,179.8,117.4,28,294,49,0.12,0.10,40,24,72,0.85,251,0.60,18,KC,MAGNUM,0.96,420,EMEA,STAGE 1
655,"['skye', 'sova', 'gekko']",120,0.34,173.5,119.1,8,225,31,0.09,0.06,21,18,71,0.89,200,0.56,20,TL,Enzo,0.95,355,EMEA,STAGE 1
656,"['gekko', 'fade', 'sova']",95,0.29,185.1,124.4,10,241,34,0.10,0.10,32,34,68,0.88,212,0.64,25,NAVI,ANGE1,0.95,329,EMEA,STAGE 1
657,"['viper', 'omen', 'sage']",174,0.41,156.9,100.1,9,278,33,0.08,0.06,24,28,74,0.84,233,0.55,22,KC,sh1n,0.94,420,EMEA,STAGE 1
658,"['omen', 'harbor', 'sage']",116,0.33,173.4,118.0,5,240,25,0.07,0.07,24,32,73,0.91,219,0.62,23,TL,Mistic,0.93,355,EMEA,STAGE 1
659,"['raze', 'jett', 'yoru']",34,0.14,211.9,136.9,22,191,42,0.18,0.19,45,30,66,0.91,173,0.72,25,KOI,kamo,0.93,239,EMEA,STAGE 1
660,"['omen', 'viper']",173,0.39,176.7,112.9,16,312,56,0.13,0.09,39,23,70,0.83,259,0.59,20,FUT,AtaKaptan,0.92,440,EMEA,STAGE 1
